INFO 2020-07-20 19:02:05,628 basehttp 157 "GET /admin/auth/group/ HTTP/1.1" 200 4850
INFO 2020-07-20 19:02:56,223 basehttp 157 "GET /admin/auth/group/ HTTP/1.1" 200 4850
INFO 2020-07-20 19:03:00,840 basehttp 157 "GET /admin/auth/group/1/change/ HTTP/1.1" 200 6994
INFO 2020-07-20 19:03:00,867 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 7722
INFO 2020-07-20 19:03:02,293 basehttp 157 "GET /admin/ HTTP/1.1" 200 3168
WARNING 2020-07-20 19:03:05,948 log 228 Not Found: /
WARNING 2020-07-20 19:03:05,948 basehttp 157 "GET / HTTP/1.1" 404 2257
INFO 2020-07-20 19:03:08,500 basehttp 157 "GET /admin/ HTTP/1.1" 200 3168
INFO 2020-07-20 19:03:10,861 basehttp 157 "GET /admin/auth/group/ HTTP/1.1" 200 4850
INFO 2020-07-20 19:03:10,894 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 7722
INFO 2020-07-20 19:03:13,471 basehttp 157 "GET /admin/ HTTP/1.1" 200 3168
INFO 2020-07-20 19:03:14,670 basehttp 157 "GET /admin/auth/group/add/ HTTP/1.1" 200 6771
INFO 2020-07-20 19:03:14,700 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 7722
INFO 2020-07-20 19:10:49,467 autoreload 598 Watching for file changes with StatReloader
WARNING 2020-07-20 19:10:52,018 log 228 Not Found: /
WARNING 2020-07-20 19:10:52,019 basehttp 157 "GET / HTTP/1.1" 404 2257
INFO 2020-07-20 19:10:58,120 basehttp 157 "GET /admin/ HTTP/1.1" 200 3841
INFO 2020-07-20 19:11:01,208 basehttp 157 "GET /admin/home/banner/ HTTP/1.1" 200 3179
INFO 2020-07-20 19:11:01,238 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 7722
INFO 2020-07-20 19:11:03,220 basehttp 157 "GET /admin/home/banner/add/ HTTP/1.1" 200 6739
INFO 2020-07-20 19:11:03,244 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 7722
INFO 2020-07-20 19:13:25,320 basehttp 157 "POST /admin/home/banner/add/ HTTP/1.1" 302 0
INFO 2020-07-20 19:13:25,370 basehttp 157 "GET /admin/home/banner/add/ HTTP/1.1" 200 6956
INFO 2020-07-20 19:13:25,394 basehttp 157 "GET /admin/jsi18n/ HTTP/1.1" 200 7722
INFO 2020-07-20 19:14:16,091 basehttp 157 "POST /admin/home/banner/add/ HTTP/1.1" 302 0
